А300,5361932,7415530
А301,5361902,7415465
А302,5362010,7415442
А303,5362046,7415393
А304,5362036,7415324
А305,5361988,7415351
А306,5361967,7415411
А307,5361931,7415398
А308,5361962,7415326
А309,5361911,7415326
А310,5361900,7415361
А311,5361883,7415394
А312,5361834,7415491
А313,5361847,7415430
А314,5361840,7415373
А315,5361870,7415356
А316,5361875,7415323
А317,5361843,7415315
А318,5361807,7415318
А319,5361804,7415364
А320,5361797,7415427
А321,5361781,7415485
А322,5361731,7415528
А323,5361721,7415498
А324,5361670,7415515
А325,5361678,7415417
А326,5361761,7415292
А327,5361758,7415322
А328,5361753,7415378
А329,5361719,7415378
А330,5361726,7415338
А331,5361731,7415309
А332,5361690,7415302
А333,5361686,7415335
А334,5361681,7415375
А335,5361645,7415371
А336,5361652,7415319
А337,5361658,7415287
А338,5361607,7415298
А339,5361602,7415348
А340,5361616,7415426
А341,5361596,7415492
А342,5361542,7415467
А343,5361547,7415429
А344,5361552,7415397
А345,5361557,7415356
А346,5361563,7415315
А347,5361568,7415280
А348,5361527,7415273
А349,5361522,7415310
А350,5361522,7415357
А351,5361511,7415399
А352,5361505,7415426
А353,5361500,7415469
А354,5361466,7415462
А355,5361467,7415418
А356,5361471,7415390
А357,5361475,7415353
А358,5361478,7415306
А359,5361487,7415269
А360,5361451,7415265
А361,5361442,7415302
А362,5361436,7415346
А363,5361432,7415385
А364,5361428,7415454
А365,5361385,7415446
А366,5361390,7415405
А367,5361393,7415375
А368,5361397,7415340
А369,5361403,7415302
А370,5361408,7415257
А371,5361373,7415254
А372,5361368,7415297
А373,5361359,7415342
А374,5361347,7415406
А375,5361291,7415387
А376,5361303,7415355
А377,5361314,7415289
А378,5361322,7415246
А379,5361289,7415243
А380,5361282,7415284
А381,5361265,7415342
А382,5361220,7415317
А383,5361241,7415281
А384,5361252,7415238
А385,5361218,7415231
А386,5361185,7415260
А387,5362101,7415316
А388,5362128,7415224
А389,5362024,7415259
А390,5362021,7415219
А391,5362042,7415176
А392,5362067,7415121
А393,5362026,7415118
А394,5362015,7415157
А395,5362001,7415183
А396,5361988,7415207
А397,5361973,7415236
А398,5361940,7415250
А399,5361934,7415282
А400,5361890,7415273
А401,5361902,7415244
А402,5361948,7415188
А403,5361967,7415150
А404,5361972,7415115
А405,5361934,7415111
А406,5361877,7415098
А407,5361900,7415149
А408,5361865,7415142
А409,5361886,7415199
А410,5361859,7415172
А411,5361855,7415231
А412,5361826,7415102
А413,5361818,7415141
А414,5361811,7415174
А415,5361808,7415240
А416,5361768,7415256
А417,5361767,7415226
А418,5361773,7415168
А419,5361782,7415101
А420,5361740,7415089
А421,5361732,7415148
А422,5361727,7415231
А423,5361727,7415260
А424,5361696,7415253
А425,5361688,7415215
А426,5361692,7415156
А427,5361701,7415090
А428,5361663,7415083
А429,5361661,7415137
А430,5361654,7415210
А431,5361655,7415244
А432,5361610,7415239
А433,5361614,7415198
А434,5361616,7415154
А435,5361620,7415119
А436,5361625,7415078
А437,5361596,7415022
А438,5361593,7415061
А439,5361587,7415095
А440,5361585,7415129
А441,5361579,7415171
А442,5361572,7415239
А443,5361523,7415227
А444,5361528,7415188
А445,5361538,7415118
А446,5361541,7415074
А447,5361552,7415011
А448,5361516,7415007
А449,5361502,7415051
А450,5361491,7415113
А451,5361487,7415146
А452,5361497,7415188
А453,5361490,7415223
А454,5361455,7415216
А455,5361460,7415182
А456,5361456,7415112
А457,5361459,7415070
А458,5361473,7415045
А459,5361479,7415001
А460,5361438,7414998
А461,5361433,7415035
А462,5361429,7415070
А463,5361426,7415108
А464,5361420,7415143
А465,5361416,7415177
А466,5361414,7415217
А467,5361373,7415178
А468,5361384,7415143
А469,5361388,7415101
А470,5361393,7415067
А471,5361381,7415029
А472,5361385,7414966
А473,5361279,7414958
А474,5361265,7415017
А475,5361315,7415048
А476,5361360,7415083
А477,5361357,7415121
А478,5361320,7415145
А479,5361335,7415174
А480,5361296,7415169
А481,5361280,7415138
А482,5361262,7415164
А483,5361247,7415193
А484,5361227,7415134
А485,5361260,7415106
А486,5361236,7415065
А487,5362125,7415094
А488,5362148,7415002
А489,5362167,7414896
А490,5362104,7414888
А491,5362096,7414984
А492,5362081,7415079
А493,5362036,7415033
А494,5362026,7415070
А495,5361998,7415030
А496,5361961,7415062
А497,5361939,7415026
А498,5361928,7415060
А499,5361906,7415023
А500,5361878,7415054
А501,5362052,7414945
А502,5362026,7414909
А503,5362011,7414948
А504,5361976,7414905
А505,5361956,7414960
А506,5361930,7414912
А507,5361909,7414955
А508,5361884,7414951
А509,5361898,7414901
А510,5361849,7414950
А511,5361809,7415014
А512,5361803,7414947
А513,5361766,7414941
А514,5361726,7414934
А515,5361688,7415000
А516,5361641,7414911
А517,5361647,7414877
А518,5361649,7414850
А519,5361696,7414856
А520,5361737,7414885
А521,5361747,7414858
А522,5361813,7414866
А523,5361814,7414897
А524,5361858,7414872
А525,5362164,7414842
А526,5362129,7414825
А527,5362055,7414815
А528,5362014,7414844
А529,5361969,7414805
А530,5361951,7414835
А531,5361905,7414828
А532,5361904,7414796
А533,5361861,7414791
А534,5361828,7414818
А535,5361795,7414784
А536,5361778,7414814
А537,5361742,7414809
А538,5361738,7414778
А539,5361705,7414805
А540,5361687,7414772
А541,5361662,7414806
А542,5361623,7414801
А543,5361618,7414836
А544,5361614,7414872
А545,5361612,7414904
А546,5361604,7414938
А547,5361601,7414972
А548,5361555,7414972
А549,5361556,7414932
А550,5361562,7414901
А551,5361568,7414864
А552,5361579,7414793
А553,5361542,7414788
А554,5361536,7414834
А555,5361520,7414859
А556,5361515,7414895
А557,5361526,7414921
А558,5361523,7414968
А559,5361489,7414963
А560,5361494,7414915
А561,5361477,7414894
А562,5361500,7414831
А563,5361508,7414785
А564,5361467,7414785
А565,5361462,7414819
А566,5361456,7414868
А567,5361451,7414913
А568,5361444,7414951
А569,5361412,7414905
А570,5361420,7414842
А571,5361419,7414774
А572,5361375,7414812
А573,5361368,7414863
А574,5361354,7414912
А575,5361301,7414904
А576,5361304,7414856
А577,5361309,7414802
А578,5361349,7414766
А579,5361298,7414759
А580,5361268,7414771
А581,5361261,7414826
А582,5361256,7414875
А583,5362178,7414786
А584,5362184,7414738
А585,5362189,7414690
А586,5362196,7414641
А587,5362153,7414638
А588,5362135,7414668
А589,5362126,7414707
А590,5362109,7414749
А591,5362117,7414791
А592,5362068,7414775
А593,5362071,7414743
А594,5362075,7414702
А595,5362022,7414631
А596,5362025,7414685
А597,5362022,7414745
А598,5361978,7414744
А599,5361969,7414681
А600,5361953,7414613
А601,5361920,7414652
А602,5361915,7414688
А603,5361909,7414749
А604,5361886,7414612
А605,5361880,7414649
А606,5361874,7414699
А607,5361854,7414741
А608,5361816,7414738
А609,5361819,7414700
А610,5361830,7414654
А611,5361835,7414599
А612,5361803,7414595
А613,5361762,7414590
А614,5361773,7414646
А615,5361753,7414669
А616,5361795,7414676
А617,5361791,7414711
А618,5361747,7414709
А619,5361767,7414733
А620,5361718,7414726
А621,5361676,7414720
А622,5361670,7414680
А623,5361720,7414644
А624,5361678,7414628
А625,5361682,7414595
А626,5361726,7414586
А627,5361641,7414580
А628,5361626,7414756
А629,5361574,7414758
